"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2006",7.91431427,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2007",8.073302269,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2008",8.1632995605,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2009",7.9292426109,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2010",7.8272519112,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2011",7.8961238861,"B"
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2012",8.6348361969,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2013",9.0613145828,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2014",9.5507192612,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2015",9.1985683441,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",8.8911857605,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",8.463218689,"B"
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",8.6586809158,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",9.3335571289,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2020",9.7671098709,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1995",7.4652981758,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1996",7.1376781464,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1997",6.8691487312,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1998",6.2161779404,"N"
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2000",6.2513575554,"N"
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2003",5.9892716408,"N"
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2004",5.6471986771,"N"
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2005",5.3606162071,"N"
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2006",5.2453455925,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2007",5.2305750847,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2008",5.1603040695,"N"
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2009",5.2901368141,"N"
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2010",5.5603432655,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2011",5.660598278,"B"
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2012",5.7734627724,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2013",6.1057639122,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2014",6.4929571152,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2015",6.6619420052,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",6.6640615463,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",6.6981921196,"B"
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",6.8861236572,"N"
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",7.3840479851,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2020",7.5349955559,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1990",7.9931750298,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1991",8.5341033936,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1992",7.9076275826,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1993",8.3933782578,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1994",7.9719057083,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1995",8.0761938095,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1996",8.2580032349,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1997",8.4379682541,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1998",8.262137413,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1999",7.8097605705,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2000",7.3871326447,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2001",6.9795718193,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2002",7.0497789383,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2003",6.9685606956,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2004",7.2610106468,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2005",7.1432151794,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2006",7.4916830063,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2007",7.5013852119,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2008",7.6223297119,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2009",7.5438842773,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2010",7.4818506241,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2011",7.5145044327,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2012",7.3960022926,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2013",7.3226690292,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2014",7.0175085068,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2015",6.8764209747,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",6.8832011223,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",7.0848708153,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1990",4.6518702507,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1991",4.4372177124,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1992",4.7420988083,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1993",5.2196750641,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1994",5.0591902733,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1995",5.2718906403,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1996",5.4370288849,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1997",5.7255496979,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1998",5.7936220169,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1999",5.7022976875,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2000",5.3717269897,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2001",4.9993739128,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2002",4.700761795,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2003",4.4076294899,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2004",4.4803848267,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2005",4.459397316,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2006",4.6194634438,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2007",4.562286377,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2008",4.7525634766,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2009",4.845788002,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2010",4.9266500473,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2011",4.766064167,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2012",4.6582975388,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2013",4.5906524658,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2014",4.6990871429,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2015",4.7649817467,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",4.7209625244,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",4.5164527893,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1997",11.71890831,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1998",12.094232559,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1999",12.574018478,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2000",12.722160339,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2001",13.028402328,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2002",13.615142822,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2003",13.741588593,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2004",13.0467453,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2005",11.931019783,"B"
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2006",10.987325668,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2007",10.730771065,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2008",11.119305611,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2009",11.827763557,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2010",12.513291359,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2011",12.970192909,"B"
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2012",12.543820381,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2013",11.833338737,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2014",10.718511581,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2015",10.382098198,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",10.550868034,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",11.101831436,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",11.827638626,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",12.506095886,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2020",12.915836334,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1997",5.0965619087,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1998",5.3091616631,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1999",5.7687392235,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2000",5.7228751183,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2001",5.3831162453,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2002",5.5892195702,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2003",5.8013548851,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2004",6.1263303757,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2005",5.9545454979,"B"
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2006",6.0667381287,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2007",6.1369957924,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2008",5.9405498505,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2009",6.1223182678,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2010",6.7832026482,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2011",7.3288803101,"B"
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2012",7.707526207,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2013",7.3435950279,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2014",6.9861187935,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2015",6.4820871353,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",6.1996994019,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",6.4841032028,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",6.2745113373,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",6.6055030823,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2020",6.414536953,
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1995",2.3777925968,
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1996",2.368639946,
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1997",2.5207839012,
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1998",2.6108400822,
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1999",2.8705883026,
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2000",3.0738418102,
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2001",3.2902317047,
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2002",4.5774116516,"N"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2003",3.576167345,
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2004",3.5956778526,
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2005",4.554666996,"N"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2006",4.6593379974,"N"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2007",5.0167293549,"N"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2008",5.1874899864,"N"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2009",5.0813264847,"N"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2010",4.7528591156,"N"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2011",4.3162713051,"N"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2012",4.2170276642,"N"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2013",4.0646219254,"N"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2014",4.0643439293,"N"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2015",3.6785030365,"N"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",3.8016815186,"N"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",4.0777130127,"B"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",4.4211368561,
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",4.5063862801,"N"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2020",4.4901008606,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1995",10.358584404,
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1996",10.010379791,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1997",8.8603372574,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1998",7.4629445076,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1999",6.2250676155,
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2000",5.7651481628,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2001",5.7184109688,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2002",5.7226729393,
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2003",5.6501803398,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2004",5.8161902428,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2005",5.9976935387,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2006",5.9613404274,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2007",5.9335031509,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2008",6.2947511673,"B"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2009",6.7555184364,
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2010",7.0263009071,
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2011",6.9118390083,
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2012",6.9708533287,
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2013",7.0524353981,
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2014",7.0749025345,
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2015",7.1746325493,
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",6.6781358719,
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",6.3798995018,
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",6.137283802,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",6.7362642288,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2020",7.0690531731,
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1996",5.4352011681,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1997",4.7470626831,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1998",4.6608514786,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1999",3.8132939339,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2002",3.9035620689,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2003",3.7287900448,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2005",3.6185209751,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2006",3.6341025829,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2007",3.6840662956,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2008",3.9356896877,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2009",3.9294860363,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2010",3.8689527512,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2011",4.0104646683,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2012",4.0916390419,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2013",4.2128791809,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2014",4.2126336098,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2015",4.4226517677,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",4.2576365471,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",4.1793794632,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",4.2529807091,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",4.6273708344,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2020",4.8960199356,"N"
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1995",5.6018333435,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1996",5.6412930489,"N"
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1997",5.6767635345,"N"
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1998",5.585714817,"N"
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1999",5.183907032,"N"
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2000",4.6512913704,"N"
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2001",4.2096838951,"N"
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2002",3.8925042152,"N"
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2005",3.9593837261,"B"
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2006",4.2232518196,"B"
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2007",4.6496906281,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2008",4.8499426842,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2009",5.0849676132,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2010",5.3004994392,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2011",5.5483388901,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2012",5.5741696358,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2013",5.7122507095,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2014",5.8293766975,"B"
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2015",5.9717154503,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",5.8803987503,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",5.8628048897,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",5.8813500404,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",6.5154218674,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2020",6.7720117569,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","1995",2.5646297932,"N"
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2005",2.560721159,"N"
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2006",2.4780983925,"N"
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2007",2.7999694347,"N"
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2008",2.8676650524,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2009",3.1317913532,"N"
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2010",3.2998535633,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2011",3.5034306049,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2012",3.6097681522,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2013",3.7375311852,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2014",3.8964006901,"B"
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2015",3.9151649475,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",4.1463360786,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",4.4658479691,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",4.5780444145,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",4.63904953,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2020",4.5576405525,
"DEU","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1995",5.1647772789,
